Airline,Day_of_Month,Delayed_Departure,Total flights per day,Percentage,Tier
United Airlines,12,224,1519,0.14746543778801843,None
United Airlines,13,159,1576,0.10088832487309644,None
United Airlines,14,201,1558,0.12901155327342748,None
United Airlines,15,144,1553,0.0927237604636188,None
United Airlines,16,431,1599,0.2695434646654159,None
United Airlines,17,288,1468,0.19618528610354224,None
United Airlines,18,237,1197,0.19799498746867167,None
United Airlines,19,144,1454,0.09903713892709766,None
United Airlines,20,155,1586,0.09773013871374527,None
United Airlines,21,214,1563,0.13691618682021753,None
United Airlines,22,120,1555,0.07717041800643087,None
United Airlines,23,139,1595,0.0871473354231975,None
United Airlines,24,134,1591,0.0842237586423633,None
United Airlines,25,131,1292,0.10139318885448917,None
United Airlines,26,148,1532,0.09660574412532637,None
United Airlines,27,191,1586,0.12042875157629256,None
United Airlines,28,141,1550,0.09096774193548388,None
United Airlines,29,81,1554,0.052123552123552123,None
United Airlines,30,167,1597,0.10457107075767064,None
United Airlines,31,232,1592,0.1457286432160804,None
